Team,Date,Time,Day,Venue,Result,GF,GA,Opponent
Tysons City FC,2022-11-13,20:30,Sunday,Home,L,1,3,Los Toros
World Class Premier,2022-09-11,20:00,Sunday,Away,L,2,3,Aegean Hawks FC
World Class Premier,2022-09-18,20:00,Sunday,Home,D,2,2,K Crew
World Class Premier,2022-09-25,20:00,Sunday,Away,L,1,3,Yinz United
World Class Premier,2022-10-02,20:00,Sunday,Home,D,0,0,Los Toros
World Class Premier,2022-10-09,20:00,Sunday,Home,W,9,0,Borussia Dulles
World Class Premier,2022-10-16,20:00,Sunday,Away,W,2,1,Inter Virginia
World Class Premier,2022-10-22,19:00,Sunday,Home,L,0,3,Tysons City FC
World Class Premier,2022-10-30,20:00,Sunday,Away,W,6,1,Esperion
World Class Premier,2022-11-06,19:00,Sunday,Home,L,2,3,Fighting Bods
World Class Premier,2022-11-13,20:00,Sunday,Away,L,2,3,Fighting Bods
Yinz United,2022-09-11,20:00,Sunday,Away,D,1,1,Fighting Bods
Yinz United,2022-09-18,18:00,Sunday,Away,W,4,2,Inter Virginia
Yinz United,2022-09-25,20:00,Sunday,Home,W,3,1,World Class Premier
Yinz United,2022-10-02,18:00,Sunday,Home,W,4,0,Tysons City FC
Yinz United,2022-10-09,20:00,Sunday,Away,W,4,0,Esperion
Yinz United,2022-10-16,20:00,Sunday,Home,W,5,0,K Crew
Yinz United,2022-10-23,18:00,Sunday,Home,W,3,0,Borussia Dulles
Yinz United,2022-10-30,18:00,Sunday,Away,W,4,2,Los Toros
Yinz United,2022-11-06,20:00,Sunday,Away,L,1,3,Aegean Hawks FC
Yinz United,2022-11-20,20:00,Sunday,Home,L,1,2,Fighting Bods
Aegean Hawks FC,2023-09-17,18:00,Sunday,Home,D,1,1,Deportivo Sterling
Aegean Hawks FC,2023-09-24,20:00,Sunday,Away,W,3,2,Yinz United
Aegean Hawks FC,2023-10-08,20:00,Sunday,Home,W,3,0,DDFC
Aegean Hawks FC,2023-10-15,20:00,Sunday,Home,W,6,3,FCA
Aegean Hawks FC,2023-10-18,21:00,Wedenesday,Home,D,0,0,Los Toros
Aegean Hawks FC,2023-10-22,20:00,Sunday,Home,W,3,1,Rise FC
Aegean Hawks FC,2023-10-29,20:00,Sunday,Home,W,6,0,Fighting Bods
Aegean Hawks FC,2023-11-05,20:00,Sunday,Away,W,5,1,Arlington FC
Aegean Hawks FC,2023-11-12,20:00,Sunday,Away,W,5,0,World Class Premier
Aegean Hawks FC,2023-11-26,20:00,Sunday,Home,W,4,1,Arlington FC
Aegean Hawks FC,2023-12-03,20:00,Sunday,Home,W,5,2,Los Toros
Arlington FC,2023-09-10,20:00,Sunday,Home,W,6,0,FCA
Arlington FC,2023-09-17,20:00,Sunday,Away,L,0,1,World Class Premier
Arlington FC,2023-09-24,20:00,Sunday,Away,W,3,0,Los Toros
Arlington FC,2023-10-01,18:00,Sunday,Home,W,4,1,Deportivo Sterling
Arlington FC,2023-10-15,20:00,Sunday,Home,L,3,4,Fighting Bods
Arlington FC,2023-10-25,20:00,Wednesday,Away,L,2,3,Yinz United
Arlington FC,2023-10-29,18:00,Sunday,Away,L,1,2,DDFC
Arlington FC,2023-11-05,20:00,Sunday,Home,L,1,5,Aegean Hawks FC
Arlington FC,2023-11-12,20:00,Sunday,Away,W,3,0,Rise FC
Arlington FC,2023-11-19,18:00,Sunday,Away,W,4,1,Fighting Bods
Arlington FC,2023-11-26,20:00,Sunday,Away,L,1,4,Aegean Hawks FC
DDFC,2023-09-10,20:00,Sunday,Home,L,1,4,Fighting Bods
DDFC,2023-09-24,20:00,Sunday,Home,W,1,0,Rise FC
DDFC,2023-10-01,20:00,Sunday,Home,L,0,4,Los Toros
DDFC,2023-10-08,20:00,Sunday,Away,L,0,3,Aegean Hawks FC
DDFC,2023-10-15,18:00,Sunday,Away,L,0,3,Yinz United
DDFC,2023-10-22,20:00,Sunday,Away,L,2,3,World Class Premier
DDFC,2023-10-29,18:00,Sunday,Home,W,2,1,Arlington FC
DDFC,2023-11-05,18:15,Sunday,Home,W,3,2,Deportivo Sterling
DDFC,2023-11-12,20:00,Sunday,Home,L,1,6,FCA
Deportivo Sterling,2023-09-10,20:00,Sunday,Home,D,1,1,Rise FC
Deportivo Sterling,2023-09-17,20:00,Sunday,Away,D,1,1,Aegean Hawks FC
Deportivo Sterling,2023-09-24,20:00,Sunday,Away,D,1,1,FCA
Deportivo Sterling,2023-10-01,18:00,Sunday,Away,L,1,4,Arlington FC
Deportivo Sterling,2023-10-08,20:00,Sunday,Home,L,1,3,Yinz United
Deportivo Sterling,2023-10-22,20:00,Sunday,Home,L,1,4,Fighting Bods
Deportivo Sterling,2023-11-01,20:00,Wednesday,Away,L,0,3,World Class Premier
Deportivo Sterling,2023-11-05,18:15,Sunday,Away,L,2,3,DDFC
Deportivo Sterling,2023-11-12,18:00,Sunday,Away,L,1,5,Los Toros
FCA,2023-09-10,20:00,Sunday,Away,L,0,6,Arlington FC
FCA,2023-09-24,20:00,Sunday,Home,D,1,1,Deportivo Sterling
FCA,2023-10-01,20:00,Sunday,Away,W,3,0,Rise FC
FCA,2023-10-08,19:30,Sunday,Away,L,2,3,World Class Premier
FCA,2023-10-15,20:00,Sunday,Away,L,3,6,Aegean Hawks FC
FCA,2023-10-22,18:00,Sunday,Home,D,1,1,Los Toros
FCA,2023-10-29,20:00,Sunday,Home,W,2,1,Yinz United
FCA,2023-11-05,20:00,Sunday,Away,L,3,5,Fighting Bods
FCA,2023-11-12,20:00,Sunday,Away,W,6,1,DDFC
Fighting Bods,2023-09-10,20:00,Sunday,Away,W,4,1,DDFC
Fighting Bods,2023-09-17,20:00,Sunday,Home,W,4,1,Rise FC
Fighting Bods,2023-09-24,19:30,Sunday,Away,L,1,4,World Class Premier
Fighting Bods,2023-10-08,20:00,Sunday,Away,D,0,0,Los Toros
Fighting Bods,2023-10-15,20:00,Sunday,Away,W,4,3,Arlington FC
Fighting Bods,2023-10-22,20:00,Sunday,Away,W,4,1,Deportivo Sterling
Fighting Bods,2023-10-29,20:00,Sunday,Away,L,0,6,Aegean Hawks FC
Fighting Bods,2023-11-05,20:00,Sunday,Home,W,5,3,FCA
Fighting Bods,2023-11-12,20:00,Sunday,Away,D,1,1,Yinz United
Fighting Bods,2023-11-19,18:00,Sunday,Home,L,1,4,Arlington FC
Los Toros,2023-09-17,18:00,Sunday,Away,L,0,1,Yinz United
Los Toros,2023-09-24,20:00,Sunday,Home,L,0,3,Arlington FC
Los Toros,2023-10-01,20:00,Sunday,Away,W,4,0,DDFC
Los Toros,2023-10-08,20:00,Sunday,Home,D,0,0,Fighting Bods
Los Toros,2023-10-18,21:00,Wednesday,Away,D,0,0,Aegean Hawks FC
Los Toros,2023-10-22,18:00,Sunday,Away,D,1,1,FCA
Los Toros,2023-10-29,18:00,Sunday,Away,W,4,1,Rise FC
Los Toros,2023-11-05,19:30,Sunday,Away,L,2,3,World Class Premier
Los Toros,2023-11-12,18:00,Sunday,Home,W,5,1,Deportivo Sterling
Los Toros,2023-11-19,20:00,Sunday,Away,W,1,0,World Class Premier
Los Toros,2023-11-26,18:00,Sunday,Away,W,2,1,Yinz United
Los Toros,2023-12-03,20:00,Sunday,Away,L,2,5,Aegean Hawks FC
Rise FC,2023-09-10,20:00,Sunday,Away,D,1,1,Deportivo Sterling
Rise FC,2023-09-17,20:00,Sunday,Away,L,1,4,Fighting Bods
Rise FC,2023-09-24,20:00,Sunday,Away,L,0,1,DDFC
Rise FC,2023-10-01,20:00,Sunday,Home,L,0,3,FCA
Rise FC,2023-10-15,20:00,Sunday,Away,W,2,0,World Class Premier
Rise FC,2023-10-22,20:00,Sunday,Away,L,1,3,Aegean Hawks FC
Rise FC,2023-10-29,18:00,Sunday,Home,L,1,4,Los Toros
Rise FC,2023-11-05,20:00,Sunday,Away,L,0,2,Yinz United
Rise FC,2023-11-12,20:00,Sunday,Home,L,0,3,Arlington FC
World Class Premier,2023-09-10,20:00,Sunday,Away,L,1,4,Yinz United
World Class Premier,2023-09-17,20:00,Sunday,Home,W,1,0,Arlington FC
World Class Premier,2023-09-24,19:30,Sunday,Home,W,4,1,Fighting Bods
World Class Premier,2023-10-08,19:30,Sunday,Home,W,3,2,FCA
World Class Premier,2023-10-15,20:00,Sunday,Home,L,0,2,Rise FC
World Class Premier,2023-10-22,20:00,Sunday,Home,W,3,2,DDFC
World Class Premier,2023-11-01,20:00,Wednesday,Home,W,3,0,Deportivo Sterling
World Class Premier,2023-11-05,19:30,Sunday,Home,W,3,2,Los Toros
World Class Premier,2023-11-12,20:00,Sunday,Home,L,0,5,Aegean Hawks FC
World Class Premier,2023-11-19,20:00,Sunday,Home,L,0,1,Los Toros
Yinz United,2023-09-10,20:00,Sunday,Home,W,4,1,World Class Premier
Yinz United,2023-09-17,18:00,Sunday,Home,W,1,0,Los Toros
Yinz United,2023-09-24,20:00,Sunday,Home,L,2,3,Aegean Hawks FC
Yinz United,2023-10-08,20:00,Sunday,Away,W,3,1,Deportivo Sterling
Yinz United,2023-10-15,18:00,Sunday,Home,W,3,0,DDFC
Yinz United,2023-10-25,20:00,Wednesday,Home,W,3,2,Arlington FC
Yinz United,2023-10-29,20:00,Sunday,Away,L,1,2,FCA
Yinz United,2023-11-05,20:00,Sunday,Home,W,2,1,Rise FC
Yinz United,2023-11-12,20:00,Sunday,Home,D,1,1,Fighting Bods
Yinz United,2023-11-26,18:00,Sunday,Home,L,1,2,Los Toros
Aegean Hawks FC,2024-09-08,20:00,Sunday,Home,W,8,0,All Boys United
Aegean Hawks FC,2024-09-15,20:00,Sunday,Home,W,4,2,North Starz
Aegean Hawks FC,2024-09-22,20:00,Sunday,Away,W,3,2,Yinz United
Aegean Hawks FC,2024-09-29,20:00,Sunday,Home,W,2,1,Esperion
Aegean Hawks FC,2024-10-13,20:00,Sunday,Home,W,1,0,World Class Premier
Aegean Hawks FC,2024-10-20,20:00,Sunday,Away,L,0,3,Great Falls
Aegean Hawks FC,2024-10-30,21:00,Wednesday,Home,L,1,3,Los Toros
Aegean Hawks FC,2024-11-03,20:00,Sunday,Away,W,2,0,Estudiantes
Aegean Hawks FC,2024-11-10,20:00,Sunday,Away,D,0,0,Arlington FC
Aegean Hawks FC,2024-11-24,20:00,Sunday,Home,L,0,2,Yinz United
All Boys United,2024-09-08,20:00,Sunday,Away,L,0,8,Aegean Hawks FC
All Boys United,2024-09-15,20:00,Sunday,Home,L,2,3,Great Falls
All Boys United,2024-09-22,20:00,Sunday,Home,L,0,4,World Class Premier
All Boys United,2024-09-29,20:00,Sunday,Home,D,1,1,Arlington FC
All Boys United,2024-10-06,20:00,Sunday,Home,W,5,4,Esperion
All Boys United,2024-10-13,18:00,Sunday,Home,L,1,6,Yinz United
All Boys United,2024-10-20,20:00,Sunday,Home,W,5,1,North Starz
All Boys United,2024-10-27,20:00,Sunday,Home,W,6,2,Estudiantes
All Boys United,2024-11-03,19:00,Sunday,Home,L,2,7,Los Toros
Arlington FC,2024-09-08,20:00,Sunday,Home,W,4,0,Estudiantes
Arlington FC,2024-09-15,20:00,Sunday,Home,W,1,0,World Class Premier
Arlington FC,2024-09-22,17:00,Sunday,Away,D,1,1,Los Toros
Arlington FC,2024-09-29,20:00,Sunday,Away,D,1,1,All Boys United
Arlington FC,2024-10-13,20:00,Sunday,Away,W,3,2,North Starz
Arlington FC,2024-10-20,20:00,Sunday,Home,D,1,1,Yinz United
Arlington FC,2024-10-27,19:00,Sunday,Home,D,1,1,Esperion
Arlington FC,2024-11-03,17:00,Sunday,Home,L,0,3,Great Falls
Arlington FC,2024-11-10,20:00,Sunday,Home,D,1,1,Aegean Hawks FC
Arlington FC,2024-11-24,17:30,Sunday,Away,L,0,4,Los Toros
Esperion,2024-09-08,18:00,Sunday,Away,D,1,1,Yinz United
Esperion,2024-09-15,19:00,Sunday,Away,W,2,0,Estudiantes
Esperion,2024-09-22,20:00,Sunday,Away,W,3,0,North Starz
Esperion,2024-09-29,20:00,Sunday,Away,L,1,2,Aegean Hawks FC
Esperion,2024-10-06,20:00,Sunday,Away,L,4,5,All Boys United
Esperion,2024-10-13,19:00,Sunday,Away,W,2,0,Great Falls
Esperion,2024-10-20,18:00,Sunday,Away,L,3,4,Los Toros
Esperion,2024-10-27,19:00,Sunday,Away,D,1,1,Arlington FC
Esperion,2024-11-03,20:00,Sunday,Away,L,1,2,World Class Premier
Estudiantes,2024-09-08,20:00,Sunday,Away,L,0,4,Arlington FC
Estudiantes,2024-09-15,19:00,Sunday,Home,L,0,2,Esperion
Estudiantes,2024-09-22,19:00,Sunday,Away,D,3,3,Great Falls
Estudiantes,2024-09-29,18:00,Sunday,Home,L,1,3,Yinz United
Estudiantes,2024-10-06,20:00,Sunday,Away,W,3,0,North Starz
Estudiantes,2024-10-13,17:00,Sunday,Away,L,1,4,Los Toros
Estudiantes,2024-10-20,20:00,Sunday,Home,L,3,4,World Class Premier
Estudiantes,2024-10-27,20:00,Sunday,Away,L,2,6,All Boys United
Estudiantes,2024-11-03,20:00,Sunday,Home,L,0,2,Aegean Hawks FC
Great Falls,2024-09-08,19:00,Sunday,Away,L,1,2,Los Toros
Great Falls,2024-09-15,20:00,Sunday,Away,W,3,2,All Boys United
Great Falls,2024-09-22,19:00,Sunday,Home,D,3,3,Estudiantes
Great Falls,2024-09-29,20:00,Sunday,Away,L,2,4,World Class Premier
Great Falls,2024-10-06,18:00,Sunday,Away,D,2,2,Yinz United
Great Falls,2024-10-13,19:00,Sunday,Home,L,0,2,Esperion
Great Falls,2024-10-20,20:00,Sunday,Home,W,3,0,Aegean Hawks FC
Great Falls,2024-10-27,17:00,Sunday,Home,W,8,1,North Starz
Great Falls,2024-11-03,17:00,Sunday,Away,W,3,0,Arlington FC
Great Falls,2024-11-17,17:30,Sunday,Home,L,0,2,Arlington FC
Los Toros,2024-09-08,19:00,Sunday,Home,W,2,1,Great Falls
Los Toros,2024-09-15,18:00,Sunday,Away,L,1,2,Yinz United
Los Toros,2024-09-22,17:00,Sunday,Home,D,1,1,Arlington FC
Los Toros,2024-09-28,20:00,Saturday,Away,W,3,2,North Starz
Los Toros,2024-10-05,21:00,Saturday,Away,W,4,2,World Class Premier
Los Toros,2024-10-13,17:00,Sunday,Home,W,4,1,Estudiantes
Los Toros,2024-10-20,18:00,Sunday,Home,W,4,3,Esperion
Los Toros,2024-10-30,20:00,Wednesday,Away,W,3,1,Aegean Hawks FC
Los Toros,2024-11-03,19:00,Sunday,Away,W,7,2,All Boys United
Los Toros,2024-11-24,17:30,Sunday,Home,W,4,0,Arlington FC
Los Toros,2024-12-08,19:30,Sunday,Away,W,2,0,Yinz United
North Starz,2024-09-08,20:00,Sunday,Home,W,2,1,World Class Premier
North Starz,2024-09-15,20:00,Sunday,Away,L,2,4,Aegean Hawks FC
North Starz,2024-09-22,20:00,Sunday,Home,L,0,3,Esperion
North Starz,2024-09-28,17:00,Saturday,Home,L,2,3,Los Toros
North Starz,2024-10-06,20:00,Sunday,Home,L,0,3,Estudiantes
North Starz,2024-10-13,20:00,Sunday,Home,L,2,3,Arlington FC
North Starz,2024-10-20,20:00,Sunday,Away,L,1,5,All Boys United
North Starz,2024-10-27,17:00,Sunday,Away,L,1,8,Great Falls
North Starz,2024-11-03,20:00,Sunday,Away,L,0,4,Yinz United
World Class Premier,2024-09-08,20:00,Sunday,Away,L,1,2,North Starz
World Class Premier,2024-09-15,20:00,Sunday,Away,L,0,1,Arlington FC
World Class Premier,2024-09-22,20:00,Sunday,Away,W,4,0,All Boys United
World Class Premier,2024-09-29,20:00,Sunday,Home,W,4,2,Great Falls
World Class Premier,2024-10-05,21:00,Saturday,Home,L,2,4,Los Toros
World Class Premier,2024-10-13,20:00,Sunday,Away,L,0,1,Aegean Hawks FC
World Class Premier,2024-10-20,20:00,Sunday,Away,W,4,3,Estudiantes
World Class Premier,2024-10-27,20:00,Sunday,Home,L,2,4,Yinz United
World Class Premier,2024-11-03,20:00,Sunday,Home,W,2,1,Esperion
World Class Premier,2024-11-17,20:00,Sunday,Away,L,1,2,Yinz United
Yinz United,2024-09-08,18:00,Sunday,Home,D,1,1,Esperion
Yinz United,2024-09-15,18:00,Sunday,Home,W,2,1,Los Toros
